album_id,title,total_tracks,release_date,external_url,image_url,label,popularity
07w0rG5TETcyihsEIZR3qG,SOS,23,2022-12-09 00:00:00,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,Top Dawg Entertainment/RCA Records,90
4kGBuWZI5kpjt60cqWewXD,Back on 74 (Full Crate Remix),2,2024-02-23 00:00:00,https://open.spotify.com/album/4kGBuWZI5kpjt60cqWewXD,https://i.scdn.co/image/ab67616d0000b273126d72cc3ab80f50a8cf7904,Caiola Records,55
63VRCc7KmT6zhL9BiGluQ0,Love Is The Way,1,2022-10-20 00:00:00,https://open.spotify.com/album/63VRCc7KmT6zhL9BiGluQ0,https://i.scdn.co/image/ab67616d0000b2734dd35f1553eabaf4b7ffb639,Penrose / Daptone Records,61
53F4qZCDBwulb9eoMuWHf2,FORΞVΞR (DΞLUXΞ ΞDITION),29,2021-11-05 00:00:00,https://open.spotify.com/album/53F4qZCDBwulb9eoMuWHf2,https://i.scdn.co/image/ab67616d0000b273484d2402e2d425ac2c87ec3c,HEXAGON,65
4mAF3peOEA7768ugEsKNHk,Ascend,1,2023-06-09 00:00:00,https://open.spotify.com/album/4mAF3peOEA7768ugEsKNHk,https://i.scdn.co/image/ab67616d0000b27336eaa88d33968ee025d0b3d1,ALT:Vision Records,63
2WoIZTbS7s8uNtRf9G6QOP,UP!,1,2024-03-01 00:00:00,https://open.spotify.com/album/2WoIZTbS7s8uNtRf9G6QOP,https://i.scdn.co/image/ab67616d0000b27308514486451188b525106b88,river house records,64
6irebIc6UO8fN0jl4UlzBS,SUPER REAL ME,4,2024-03-25 00:00:00,https://open.spotify.com/album/6irebIc6UO8fN0jl4UlzBS,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c,BELIFT LAB,81
2Z1gnUf3nbn6DtwZSUIH54,MILLION DOLLAR BABY,2,2024-04-26 00:00:00,https://open.spotify.com/album/2Z1gnUf3nbn6DtwZSUIH54,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,PULSE Records,86
2cJ7qp3ziJ5YxRHQw852mr,LAST NITE,1,2023-08-25 00:00:00,https://open.spotify.com/album/2cJ7qp3ziJ5YxRHQw852mr,https://i.scdn.co/image/ab67616d0000b273f847e9baee5933cac6f84a60,PULSE Records,58
4POiurFeB5bDsF9yBwOxbh,Some,1,2016-10-31 00:00:00,https://open.spotify.com/album/4POiurFeB5bDsF9yBwOxbh,https://i.scdn.co/image/ab67616d0000b2737c0c6c1cfac7464b6211587d,L-M Records,76
6ooBxhsOVedpX4zPTCyL86,Hyperdrama,13,2024-04-26 00:00:00,https://open.spotify.com/album/6ooBxhsOVedpX4zPTCyL86,https://i.scdn.co/image/ab67616d0000b2738f4b5df3a6ee2abb733080a9,Genesis,68
692R05mxz7V6eOFoj5PMlQ,Atavista,11,2024-05-13 00:00:00,https://open.spotify.com/album/692R05mxz7V6eOFoj5PMlQ,https://i.scdn.co/image/ab67616d0000b273a9afb2484111b87abc2b4a80,Wolf+Rothstein/RCA Records,65
7D2NdGvBHIavgLhmcwhluK,Yeezus,10,2013-06-18 00:00:00,https://open.spotify.com/album/7D2NdGvBHIavgLhmcwhluK,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,Rock The World/IDJ/Kanye/LP6,79
3BicSFhksEP3QHanmBM1Wd,Praise Jah In The Moonlight,1,2023-12-27 00:00:00,https://open.spotify.com/album/3BicSFhksEP3QHanmBM1Wd,https://i.scdn.co/image/ab67616d0000b273e64dfe3a0308d716878ce464,YG Marley Music,71
5quMTd5zeI9yW5UDua8wS4,Espresso,1,2024-04-12 00:00:00,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,Island Records,90
3P4SQqMMgjqfqVxgLwtYRk,Unreal Unearth: Unheard,20,2024-03-22 00:00:00,https://open.spotify.com/album/3P4SQqMMgjqfqVxgLwtYRk,https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241,Rubyworks / Universal-Island Records Ltd,82
4JDXBZdRPId4devseaAOKH,DECIDE,13,2022-09-16 00:00:00,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1,Djo,85
74yZjWbBtqujgO8O9JgFcU,Thanks In Advance,1,2022-10-07 00:00:00,https://open.spotify.com/album/74yZjWbBtqujgO8O9JgFcU,https://i.scdn.co/image/ab67616d0000b2737942655b2b0e0d3474e11ff1,Duetti,44
1fmBMCSSkSlvxyoy1vut2k,Saturn,5,2024-02-22 00:00:00,https://open.spotify.com/album/1fmBMCSSkSlvxyoy1vut2k,https://i.scdn.co/image/ab67616d0000b273d70916ee9e40c90380ba5f07,Top Dawg Entertainment/RCA Records,82
4eXz42L9QObRQHuJpQQ7OX,Nostalgia Pack,20,2023-05-26 00:00:00,https://open.spotify.com/album/4eXz42L9QObRQHuJpQQ7OX,https://i.scdn.co/image/ab67616d0000b27374f3cafa1a5318c3b4821dc2,Forrest Frank Music Inc. / 10K Projects,55
1woYXxyyxTQJ0E0AhZE6mj,I Had Some Help,1,2024-05-10 00:00:00,https://open.spotify.com/album/1woYXxyyxTQJ0E0AhZE6mj,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb,Mercury Records/Republic Records,83
6lk6QEktC7WigyXE2aTaVr,Million Cash,1,2023-12-29 00:00:00,https://open.spotify.com/album/6lk6QEktC7WigyXE2aTaVr,https://i.scdn.co/image/ab67616d0000b273a7a37de6343874000310bd84,4 of clubs LLC,56
2r3fHmQRc30dXt6me57yAG,slow down,1,2022-06-30 00:00:00,https://open.spotify.com/album/2r3fHmQRc30dXt6me57yAG,https://i.scdn.co/image/ab67616d0000b273a48132ff2e735488c9703771,Forrest Frank Music Inc. / 10K Projects,49
0GHlPN101r1WcuQCwINbI2,Feel It (From The Original Series “Invincible”),1,2024-03-28 00:00:00,https://open.spotify.com/album/0GHlPN101r1WcuQCwINbI2,https://i.scdn.co/image/ab67616d0000b273a9da992c2ef398245027d654,Darkroom/Interscope Records,74
6WbSGtYjhsDT4sMbeONLBn,California Cowboy,17,2023-06-16 00:00:00,https://open.spotify.com/album/6WbSGtYjhsDT4sMbeONLBn,https://i.scdn.co/image/ab67616d0000b2732e9b8ba6b2e45a67e549ee53,Forrest Frank Music Inc. / 10K Projects,66
5HIWDdg3g9CTOtnevKDl1z,i like the way you kiss me,1,2024-03-19 00:00:00,https://open.spotify.com/album/5HIWDdg3g9CTOtnevKDl1z,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738,Artemas,82
140NIeh2n6kSX9BHAsvlwy,Home,1,2024-01-17 00:00:00,https://open.spotify.com/album/140NIeh2n6kSX9BHAsvlwy,https://i.scdn.co/image/ab67616d0000b273a1cbd333da5cc7ae8f5981fb,Some Action,76
6AARjaQ2hd1WfU3S0JfImo,Though None Go,10,2022-08-05 00:00:00,https://open.spotify.com/album/6AARjaQ2hd1WfU3S0JfImo,https://i.scdn.co/image/ab67616d0000b2735cafa7e4e25286d303ff90e3,TroubleHasbun Publishing,55
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,1,2023-11-10 00:00:00,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,Generation Now/Atlantic,76
1Mo92916G2mmG7ajpmSVrc,Radical Optimism,11,2024-05-03 00:00:00,https://open.spotify.com/album/1Mo92916G2mmG7ajpmSVrc,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1,Warner Records,84
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),10,2023-09-15 00:00:00,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,Warner Records,89
24LaJk9nxJvZWtSmt7qMm5,this is what slow dancing feels like,1,2024-04-15 00:00:00,https://open.spotify.com/album/24LaJk9nxJvZWtSmt7qMm5,https://i.scdn.co/image/ab67616d0000b273fc4add7266fbfa07c6b16b1c,JVKE,58
1U1MhjyeQmkdR7zR5xppYq,what's the use?,1,2022-11-22 00:00:00,https://open.spotify.com/album/1U1MhjyeQmkdR7zR5xppYq,https://i.scdn.co/image/ab67616d0000b273d6da1acb55f643884420aca3,Forrest Frank Music Inc. / 10K Projects,41
4iqbFIdGOTzXeDtt9owjQn,WE DON'T TRUST YOU,17,2024-03-22 00:00:00,https://open.spotify.com/album/4iqbFIdGOTzXeDtt9owjQn,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8,Wilburn Holding Co./Boominati/Epic/Republic,89
4eLPsYPBmXABThSJ821sqY,DAMN.,14,2017-04-14 00:00:00,https://open.spotify.com/album/4eLPsYPBmXABThSJ821sqY,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,Aftermath,89
3r46DPIQeBQbjvjjV5mXGg,The Melodic Blue,16,2021-09-10 00:00:00,https://open.spotify.com/album/3r46DPIQeBQbjvjjV5mXGg,https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39,Columbia,78
2tdu1jCUYmUPB5FvqDHhnD,THE RUSH,5,2023-09-08 00:00:00,https://open.spotify.com/album/2tdu1jCUYmUPB5FvqDHhnD,https://i.scdn.co/image/ab67616d0000b273a72b30fcf0164ca6be74329f,PULSE Records,57
6eKaAhAfbKpu15FT8C89g6,Out With the Old in With the Taboo,5,2022-04-21 00:00:00,https://open.spotify.com/album/6eKaAhAfbKpu15FT8C89g6,https://i.scdn.co/image/ab67616d0000b27365463378aa39c6172a04dc96,Vada Vada,67
4Uv86qWpGTxf7fU7lG5X6F,The College Dropout,21,2004-02-10 00:00:00,https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F,https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78,Roc-A-Fella,82
2MsWCeQjZlSfHFjDm5DYR1,Language,1,2017-05-12 00:00:00,https://open.spotify.com/album/2MsWCeQjZlSfHFjDm5DYR1,https://i.scdn.co/image/ab67616d0000b273514cf65903e09649d7672c53,True Purpose,71
0OkDwD8xxrcR7EF4qno5hC,SOULCRUSHER,2,2024-02-07 00:00:00,https://open.spotify.com/album/0OkDwD8xxrcR7EF4qno5hC,https://i.scdn.co/image/ab67616d0000b273b1362a497bed7d89ef51d957,PULSE Records,55
1hmlhl74JfLyUqmqtCwvFb,Bewitched: The Goddess Edition,18,2024-04-26 00:00:00,https://open.spotify.com/album/1hmlhl74JfLyUqmqtCwvFb,https://i.scdn.co/image/ab67616d0000b27313832cc69a78c53b18a8bc10,Laufey,74
7Cw4LObzgnVqSlkuIyywtI,DIE FOR MY BITCH,14,2019-07-19 00:00:00,https://open.spotify.com/album/7Cw4LObzgnVqSlkuIyywtI,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,Baby Keem LLC,77
62g7jm7YqkuQOhfhFpDQXC,Make You Mine,1,2024-02-09 00:00:00,https://open.spotify.com/album/62g7jm7YqkuQOhfhFpDQXC,https://i.scdn.co/image/ab67616d0000b27391465431a3458be9f164af81,Epic/Sing It Loud,74
